Layer,Name,GEOID,Population,Longitude,Latitude,LDPP_2021,LDPP_2021_se,LDPPH_2016,LDPPH_2016_se,LDPP_2020,LDPP_2020_se,LDPP_2019,LDPP_2019_se,LDPP_2018,LDPP_2018_se,LDPP_2017,LDPP_2017_se,LDPPH_2015,LDPPH_2015_se,LDPPH_2014,LDPPH_2014_se,LDPPH_2013,LDPPH_2013_se,LDPPH_2012,LDPPH_2012_se,LDPPH_2011,LDPPH_2011_se,LDPPH_2006,LDPPH_2006_se,LDPPH_2007,LDPPH_2007_se,LDPPH_2008,LDPPH_2008_se,LDPPH_2009,LDPPH_2009_se,LDPPH_2010,LDPPH_2010_se,LDPPH_2005,LDPPH_2005_se,LDPPH_2004,LDPPH_2004_se,LDPPH_2003,LDPPH_2003_se,LDPPH_2002,LDPPH_2002_se,LDPPH_2001,LDPPH_2001_se,LDPPH_1996,LDPPH_1996_se,LDPPH_1997,LDPPH_1997_se,LDPPH_1998,LDPPH_1998_se,LDPPH_1999,LDPPH_1999_se,LDPPH_2000,LDPPH_2000_se
Community area,Uptown,3,52255,-87.65589900,41.96582200,0.9575923393,0.3601987801,0.2205071665,0.1557501081,0.4457652303,0.2567884184,0.906002265,0.318865817,1.5053763441,0.399288987,1.74291939,0.4319159461,0.1060445387,0.1059882966,0.3092783505,0.1782855984,0.5133470226,0.2289857493,0.5133470226,0.2289857493,0.4739336493,0.2114467247,2.0517395183,0.4234056696,1.0721247563,0.3215202438,0.8720930233,0.2894273216,0.9274873524,0.2783480879,0.484496124,0.2161477296,2.4305555556,0.4537153293,3.5420098847,0.5304990924,5.3097345133,0.6089185798,6.0546875,0.608538159,6.6494512589,0.6330319532,12.087326944,0.7522168946,14.106583072,0.7956460087,14.549180328,0.7980635454,12.770562771,0.7764000772,7.1253071253,0.6375632699
Community area,South Lawndale,30,71402,-87.71400000,41.83909100,2.780395853,0.3569090419,0.8647140865,0.154634295,2.8375286041,0.3552169491,2.8836251287,0.3100597481,2.0671834625,0.2557132061,3.9378238342,0.3614764995,0.8128016256,0.1430992594,0.8544860518,0.1459157103,1.0256410256,0.1538262295,0.9515178976,0.1461222089,0.8831382214,0.1340813039,2.5366627031,0.2213494146,1.8307086614,0.1880899496,1.2274645186,0.1524884891,1.0690172543,0.1408359244,0.942450371,0.1368211861,3.3061143199,0.2523267704,4.1160329283,0.2781263844,6.1008554705,0.3591177811,7.5571989831,0.4018125797,8.6637931034,0.412968125,19.703389831,0.5789593624,22.487143525,0.6383129076,17.413600892,0.5662618909,15.095805282,0.5760850189,10.836937166,0.495785984
Community area,Lower West Side,31,33716,-87.66757000,41.85027700,2.4590163934,0.6270603779,0.3633060854,0.1813227642,2.4096385542,0.6361966072,1.6497461929,0.4537673055,1.5568862275,0.4284280249,1.4874141876,0.4094549285,0.4995836803,0.2034440846,0.2906976744,0.1451374206,0.3267973856,0.1459092341,0.4869141814,0.1717305366,0.7202216066,0.1990328993,1.4631685166,0.2697085073,1.4795918367,0.272713118,0.7671232877,0.2042344216,0.9454949944,0.2282295581,0.65828845,0.1978270668,2.49500998,0.3484180984,3.0979498861,0.369816611,5.5528730082,0.5032261454,6.8192656175,0.5504687291,6.9058295964,0.5369288507,21.946472019,0.9130040701,22.894856623,0.8963871252,16.818181818,0.7974296612,14.460909555,0.7950321771,9.7222222222,0.6483476704
Community area,Loop,32,39135,-87.62519400,41.87888100,0.6688963211,0.4713965937,0.0,,0.5333333333,0.3761166092,1.2406947891,0.5514028024,0.3144654088,0.313970577,0.8746355685,0.5027579026,0.5917159763,0.4171666541,0.3154574132,0.3149594533,0.9933774834,0.5706710048,0.406504065,0.4056769959,0.4366812227,0.4357267271,0.0,,0.0,,0.0,,0.0,,0.0,,2.1276595745,1.4883913285,4.4943820225,2.1961118156,8.1632653061,2.7658405191,4.6728971963,2.0403723121,5.1470588235,1.8946784374,20.437956204,3.445176006,12.871287129,3.3321991676,13.043478261,4.0543687315,12.5,3.6975498644,12.745098039,3.3019190497
Community area,Near South Side,33,27044,-87.62034400,41.85719600,0.2331002331,0.232828396,0.2304147465,0.2301491387,0.0,,0.0,,0.5194805195,0.3663728565,0.0,,0.2288329519,0.2285709794,0.0,,0.0,,0.0,,0.2493765586,0.2490654212,2.0833333333,0.9219387533,1.4285714286,0.8188735775,0.0,,0.9868421053,0.566935301,0.2906976744,0.2902748412,2.1897810219,0.8841321393,2.04778157,0.8273992884,2.9585798817,0.9216411803,5.1724137931,1.3005138439,4.8632218845,1.1858733605,20.767494357,1.9272669884,16.515837104,1.7662054035,10.119047619,1.3433475401,9.4594594595,1.5214365302,7.4303405573,1.4592759718
Community area,Armour Square,34,13847,-87.63397600,41.84208300,0.7194244604,0.5068767197,0.5076142132,0.3580252846,0.0,,0.2481389578,0.2478309019,0.518134715,0.3654261758,1.246882793,0.5541355799,0.2645502646,0.2642000986,0.0,,0.0,,0.293255132,0.2928248234,0.0,,0.9389671362,0.6608255412,0.0,,0.6944444444,0.4893383833,1.0714285714,0.6152667771,0.0,,1.1560693642,0.8127255224,1.4925373134,0.8552619212,0.0,,2.3391812865,1.1558302744,3.6529680365,1.2677103874,10.276679842,1.9090566712,8.3720930233,1.8889117831,5.7553956835,1.3968296437,4.5454545455,1.2819910791,4.8245614035,1.4191357446
Community area,Douglas,35,17630,-87.61868000,41.83512200,0.5405405405,0.3811854552,0.0,,0.9036144578,0.519339614,0.3921568627,0.2767525237,0.6451612903,0.3712805389,0.6756756757,0.3887813889,0.0,,0.2136752137,0.2134468061,0.4405286344,0.3108139023,0.6756756757,0.3887813889,0.0,,1.0416666667,0.5181135584,0.4901960784,0.3457703663,1.3368983957,0.5938691727,0.6153846154,0.433801668,0.0,,2.2883295195,0.7153058586,2.1141649049,0.6614526861,2.7372262774,0.6970090167,6.7226890756,1.0265994769,8.0924855491,1.0367246616,19.037656904,1.036749194,18.097447796,1.0706761324,13.354531002,0.9590625399,12.571428571,1.1207660854,11.325611326,1.1368925454
Community area,Oakland,36,4280,-87.60321700,41.82375400,0.0,,0.4424778761,0.4414978575,0.6578947368,0.6557270382,0.0,,0.4784688995,0.4773228646,0.9345794393,0.6577521378,0.4273504274,0.4264363077,0.0,,0.0,,0.0,,0.0,,0.5434782609,0.5419994057,0.0,,0.0,,1.2931034483,0.7417309331,0.4424778761,0.4414978575,0.7604562738,0.535675309,1.5267175573,0.7575091999,2.9914529915,1.1136229244,8.1871345029,2.0966197787,6.4377682403,1.6078295077,20.403587444,1.9082381961,22.615803815,2.1837309019,15.223097113,1.8404659811,9.6525096525,1.8349671208,15.384615385,2.3586313103
Community area,Fuller Park,37,2549,-87.63242700,41.80908200,6.3829787234,3.5656620493,2.2727272727,1.5886938532,2.5641025641,2.5310159836,11.956521739,3.3826503659,6.5217391304,2.5742048831,6.976744186,2.7470903406,0.0,,1.8181818182,1.2739073632,2.5641025641,1.4612827594,6.9306930693,2.5271492187,2.9702970297,1.6892409641,8.9430894309,2.5730468076,6.7796610169,2.3142929114,2.8368794326,1.3981752504,0.0,,1.2820512821,1.2738064938,9.0909090909,2.5021903753,19.53125,3.5040771715,15.602836879,3.0560197184,24.683544304,3.4302056171,29.710144928,3.8900856713,50.0,3.3259505262,60.087719298,3.2432371738,46.188340807,3.3385043066,42.931937173,3.5815426258,36.075949367,3.82043209
Community area,Grand Boulevard,38,24586,-87.61786000,41.81294700,1.5544041451,0.5140919897,0.6033182504,0.3007477662,0.7194244604,0.3584159657,0.7947019868,0.3231440075,1.7735334243,0.487508242,2.5817555938,0.6579450843,0.6435006435,0.2868548018,0.7237635706,0.2944040275,1.1248593926,0.3537054862,1.4,0.3715373467,1.121304791,0.3361852838,2.3547880691,0.6008024201,3.2496307238,0.6814735235,2.9342723005,0.5781804023,1.872246696,0.4498156278,2.0531400966,0.4928212008,5.2005943536,0.8558975145,5.0125313283,0.7724320075,5.0537634409,0.718298332,11.073825503,1.0495300637,14.511041009,1.142126059,25.703324808,0.9022259993,24.297815426,0.9055724127,21.397616468,0.9545192888,20.152574698,1.0114196033,18.764845606,1.098608178
Community area,Kenwood,39,14716,-87.59618600,41.80891800,0.6006006006,0.4234114952,0.0,,0.6269592476,0.4419352102,0.4705882353,0.3319722534,1.7676767677,0.6621875967,1.2861736334,0.6389378262,0.0,,0.0,,0.0,,0.0,,0.4587155963,0.3236161066,1.4634146341,0.5930489245,1.4051522248,0.5696064003,0.6928406467,0.3986236033,1.0989010989,0.4887358132,0.2673796791,0.2670219804,2.0979020979,0.6919264964,2.2675736961,0.7088931028,2.5862068966,0.7368564164,6.157635468,1.1930082359,8.9709762533,1.4678787761,20.833333333,1.9018144358,17.597765363,2.0125966374,19.726027397,2.0828632709,18.181818182,2.0243716883,12.103746398,1.7509766422
Community area,Lincoln Square,4,40412,-87.68751300,41.97518200,1.6501650165,0.5175045751,0.3994673768,0.2301714856,0.6688963211,0.333327728,0.9696969697,0.3411733493,1.2295081967,0.4073087893,0.7802340702,0.3172841552,0.248447205,0.1754603333,0.5108556833,0.2547745724,1.045751634,0.3677907314,1.2430939227,0.411781116,0.3957783641,0.2280501146,0.5457025921,0.2721057993,1.8544935806,0.5095524198,0.7102272727,0.3164933588,0.6570302234,0.2928659725,0.9735744089,0.3661808945,1.7955801105,0.4935130341,2.8497409326,0.5988471977,2.1907216495,0.5254758565,3.8798498123,0.6831896651,4.5871559633,0.7084626045,10.490307868,1.0347355066,11.162255466,1.0682302021,8.1015719468,0.9488245937,7.3849878935,0.9099668349,6.4965197216,0.8394612152
Community area,Washington Park,40,12709,-87.61793600,41.79235600,0.75,0.4313858482,0.6263048017,0.3604631168,1.6129032258,0.6531331966,2.4,0.6844559884,2.140077821,0.6383158913,1.8518518519,0.648637871,0.3921568627,0.2767525237,0.3676470588,0.2594874102,0.3552397869,0.2507458975,1.1400651466,0.4284407874,0.1712328767,0.1710862104,4.7839506173,0.8384186304,3.8585209003,0.7722726166,2.3728813559,0.6266098855,1.0273972603,0.4172729899,0.5825242718,0.33533954,5.6358381503,0.8766570959,8.7621696801,1.0544569627,9.4151212553,1.1030159778,13.496932515,1.3381644695,17.663421419,1.4222285035,34.683724236,1.2688974381,33.847402597,1.3481268863,31.649189704,1.4360361985,23.968784838,1.4253540456,23.428571429,1.6008743966
Community area,Hyde Park,41,23914,-87.59230500,41.79408800,0.9771986971,0.5614225545,0.0,,1.2084592145,0.6005675759,1.3667425968,0.5541442013,1.2224938875,0.5433638266,0.8474576271,0.596698467,0.4608294931,0.4597664479,0.2717391304,0.2713696685,0.2506265664,0.250312301,0.7352941176,0.4229586336,0.0,,1.4457831325,0.5859561733,2.6470588235,0.8705964182,0.7246376812,0.5105363347,0.6734006734,0.4745602213,1.2738853503,0.6328727122,2.806122449,0.8341222958,1.1655011655,0.5181816054,2.6086956522,0.7431780643,5.9382422803,1.151846093,7.4792243767,1.3845043118,14.426229508,2.0118557236,14.233576642,2.1107674601,8.6956521739,1.6295257026,8.5245901639,1.5989652176,7.5235109718,1.4768303344
Community area,Woodlawn,42,24630,-87.59492400,41.77887700,2.6269702277,0.6693123876,0.7374631268,0.3285851964,1.6064257028,0.5633768788,0.9523809524,0.3582479394,2.6954177898,0.5945354275,2.6800670017,0.6609773245,0.9589041096,0.3606898145,1.4616321559,0.4188419262,2.3952095808,0.5291320756,2.2458628842,0.5094176765,2.0606060606,0.4945944267,2.4137931034,0.520336886,2.8835063437,0.5683258418,1.9653179191,0.471952429,0.9142857143,0.3217677122,1.2610340479,0.396251665,5.6792873051,0.7723466874,9.3532338308,0.9184891336,10.855565777,0.9435362195,14.661274014,1.1247623929,19.182083739,1.2286169254,41.706539075,1.3923974786,36.386986301,1.407746991,33.858267717,1.4846473105,26.673228346,1.3874655859,26.379690949,1.4640960566
Community area,South Shore,43,45611,-87.57279000,41.76158300,3.92,0.5489142738,1.2587412587,0.2948149785,3.8427167113,0.57463918,3.2960199005,0.4452193844,2.8056112224,0.4267990473,3.8970588235,0.5247680264,0.6024096386,0.2001974703,1.041064199,0.2441005553,0.5102040816,0.1696336254,1.3982102908,0.2776801842,1.1627906977,0.2522621766,3.0837004405,0.4336831559,2.9943502825,0.4051008765,2.4062674874,0.3625105409,1.8826135105,0.319811958,1.4371257485,0.2912365177,5.5378739656,0.5770484771,7.1862348178,0.5809830036,9.8399246704,0.646287511,14.160516605,0.7487786581,15.811764706,0.7914735527,34.081632653,1.0706200714,32.513368984,1.0832259544,28.025477707,1.0807362998,21.729365525,0.9772169476,20.116807268,1.0211884998
Community area,Chatham,44,31804,-87.61596500,41.74020600,3.0063291139,0.6792527734,0.4178272981,0.2407282074,2.9469548134,0.7496049237,3.8186157518,0.6620281892,3.37922403,0.6392494504,3.125,0.6557594216,0.7633587786,0.3104481724,1.2941176471,0.3876581639,0.4429678848,0.2209928466,1.0227272727,0.3391613256,0.4866180049,0.2427162878,3.313253012,0.5671280212,3.5105315948,0.5828795528,2.0348837209,0.4395068814,1.3765978368,0.3653701428,0.7194244604,0.2926454106,4.1164658635,0.62951286,6.6287878788,0.7655817994,7.355679702,0.7965603115,10.150753769,0.9574030908,14.022517912,1.1108568081,25.259515571,1.4756416821,27.566320646,1.5175748693,23.163138232,1.4887635807,18.286445013,1.3823191298,14.923469388,1.2725702139
Community area,Avalon Park,45,9359,-87.58634700,41.74419700,1.8867924528,1.0790143986,1.5957446809,0.9139232328,3.3333333333,1.6386534671,2.3364485981,1.032612755,3.431372549,1.2744913198,3.5714285714,1.4317566531,1.2658227848,0.7261829318,2.3076923077,0.9311774742,2.4691358025,0.9954979907,0.8230452675,0.5795809584,0.8130081301,0.5725418676,2.2304832714,0.9003784242,4.8507462687,1.3123194794,1.1538461538,0.6623189286,2.2471910112,0.9070453199,1.1952191235,0.6859238212,4.1935483871,1.1384326954,6.7137809187,1.4876443276,4.9469964664,1.2890225193,8.3916083916,1.6394841289,12.925170068,1.9565492544,18.316831683,2.7215466313,20.103092784,2.8773689826,17.989417989,2.7939112174,15.736040609,2.5943917324,13.989637306,2.4968931769
Community area,South Chicago,46,25975,-87.55143500,41.74124300,3.7323037323,0.6800146509,0.622406639,0.2533044555,4.2553191489,0.8165876204,4.0752351097,0.6391248995,4.5901639344,0.6918311716,5.5427251732,0.7775358683,0.6517690875,0.2455414452,0.8583690987,0.2702726526,1.1317704123,0.3007618149,1.7080745342,0.3610392337,1.8422991894,0.3650499937,5.0684931507,0.5740744142,2.9871011541,0.4435456582,1.7712177122,0.3583320926,1.7057569296,0.3452037976,1.9455252918,0.3853013985,5.9515570934,0.6223822285,5.931198102,0.5752614029,8.502994012,0.682544769,13.175470553,0.8334076582,12.340425532,0.8109270656,24.848116646,1.065127892,24.387011266,1.1054341369,24.20606916,1.1378746583,21.607022282,1.0694451401,18.761904762,1.2048241942
Community area,Burnside,47,2514,-87.59647000,41.72818100,0.0,,0.0,,0.0,,0.0,,4.2857142857,2.420755731,0.0,,1.5151515152,1.5036292832,0.0,,2.9411764706,2.0489133706,5.7142857143,2.7743094642,2.9850746269,2.079023853,3.4482758621,1.9562366515,3.4482758621,1.9562366515,1.1904761905,1.1833688064,0.9900990099,0.9851853368,2.4390243902,1.7034885263,2.380952381,1.6634241214,4.0816326531,1.9987331197,6.9306930693,2.5271492187,7.2072072072,2.4545910009,8.8235294118,2.8084226783,25.663716814,4.1088565262,33.962264151,4.5998267285,31.944444444,5.4949432734,22.950819672,3.807178125,21.348314607,4.3435098479
Community area,Calumet Heights,48,13085,-87.57272000,41.72967300,0.4385964912,0.4376335999,0.0,,1.1695906433,0.8221748439,1.2145748988,0.6969636219,1.393728223,0.6919908761,2.2831050228,1.0093126504,1.4018691589,0.8036763622,0.7782101167,0.5481323106,0.3937007874,0.3929250215,0.3436426117,0.3430516523,0.3802281369,0.3795045813,1.3927576602,0.6185074859,2.9255319149,0.8690825049,2.0895522388,0.7814815538,1.1730205279,0.5830601736,0.0,,3.0985915493,0.9196721482,2.1276595745,0.7441956642,3.2085561497,0.9112499238,5.3333333333,1.1603320087,6.0773480663,1.2557059241,15.181518152,2.061491435,16.104868914,2.249527698,16.79389313,2.3094185403,12.903225806,2.2757278113,12.307692308,2.0374285649
Community area,Roseland,49,38934,-87.62336600,41.70658800,2.1464646465,0.5149766521,1.2987012987,0.3724603829,3.1437125749,0.6751450595,4.0423484119,0.6110108229,4.6721311475,0.6042094858,5.5614973262,0.749487868,1.8975332068,0.4202564145,1.0556621881,0.3166096129,1.6085790885,0.376083935,2.0753266718,0.3952306815,2.2279348757,0.4320392586,5.5192447349,0.6153816388,4.5387994143,0.5631947418,2.4113475177,0.4085262867,1.9543973941,0.3533184427,2.8169014085,0.4762418531,7.7507598784,0.7370986153,7.0481507327,0.6761507183,10.824417873,0.7794052068,14.150347442,0.8760166592,18.199233716,0.9750106473,33.465871438,1.2147270029,33.63114231,1.1934891702,29.207596595,1.1636482501,26.985242446,1.1767007651,22.839506173,1.166106868
Community area,North Center,5,35150,-87.68383900,41.94781100,0.0,,0.1555209953,0.1554000144,0.3120124805,0.2202816813,0.2836879433,0.2003129306,0.4830917874,0.2782386546,0.6369426752,0.3174554775,0.1322751323,0.1321876198,0.1672240803,0.1670842023,0.1748251748,0.1746722888,0.4958677686,0.2855786992,0.9242144177,0.4114068319,1.6587677725,0.6217336767,0.2680965147,0.2677368948,0.5464480874,0.3853399721,0.5555555556,0.319857936,1.1787819253,0.4783909378,1.1135857461,0.4952300345,0.2252252252,0.2249714502,1.0416666667,0.4634148547,1.3483146067,0.54672366,4.4230769231,0.901648152,9.8646034816,1.3114212957,9.8969072165,1.3559657791,8.1927710843,1.3462626629,5.8962264151,1.1439516454,3.9800995025,0.9750223345
Community area,Pullman,50,6866,-87.59825200,41.70613100,3.5714285714,1.5684108315,0.6993006993,0.6968513023,4.6296296296,2.0219386839,5.9210526316,1.9143612355,1.3422818792,0.942745054,2.8368794326,1.3981752504,0.5128205128,0.5115038983,1.0526315789,0.7403950747,0.5076142132,0.5063242131,0.9478672986,0.6670593224,3.9647577093,1.2951221044,3.6144578313,1.182845045,2.0920502092,0.9257550279,2.3622047244,0.9529078193,1.5267175573,0.7575091999,2.2935779817,1.013888188,3.4334763948,1.1928954196,5.1383399209,1.3880225291,7.3643410853,1.6260960393,6.5972222222,1.4627301352,9.0551181102,1.8006086537,17.727272727,2.5747648387,18.222222222,2.573517126,22.175732218,2.6871849313,17.156862745,2.639563555,15.584415584,2.3864403651
Community area,South Deering,51,14125,-87.57005800,41.69063900,2.0467836257,0.7656534864,0.4866180049,0.343252666,1.4134275618,0.7017015632,1.7811704835,0.6671966342,1.3636363636,0.5528934885,2.4509803922,0.7655107457,0.4415011038,0.3114985044,0.5825242718,0.33533954,0.1964636542,0.1962705695,0.2057613169,0.2055495193,0.1923076923,0.1921226921,1.568627451,0.5502266075,1.5841584158,0.5556305555,0.5882352941,0.3386174562,0.5870841487,0.3379567564,0.7936507937,0.395247556,1.8711018711,0.6178380334,2.8248587571,0.7189996827,4.4722719141,0.8742243946,4.4750430293,0.857766275,5.6776556777,0.9903654871,11.632270169,1.3887225409,12.050739958,1.4968985994,9.5528455285,1.3251995517,9.429280397,1.4557294275,7.8167115903,1.3936418762
Community area,East Side,52,21529,-87.53490700,41.70730600,1.5957446809,0.5276538245,0.3210272873,0.226635912,2.2624434389,0.7073078358,1.0869565217,0.4085920715,1.8575851393,0.5312347487,3.0303030303,0.7033440645,0.8902077151,0.3618045395,0.3947368421,0.2274511718,0.3870967742,0.2230574452,1.0075566751,0.3544259506,1.0309278351,0.341866669,1.9255455712,0.4923638084,1.6181229773,0.4144035312,1.6009852217,0.4404646121,1.5222482436,0.4189699433,0.8383233533,0.3155255084,3.1806615776,0.6259339584,1.6241299304,0.4305276467,2.3602484472,0.5350498578,3.3292231813,0.6299537015,6.8181818182,0.949978004,8.1260364842,1.1126970949,10.766423358,1.3240658902,9.3699515347,1.1712765647,8.5616438356,1.157807504,6.4748201439,1.2050639738
Community area,West Pullman,53,25788,-87.63574500,41.67382000,3.6101083032,0.7925396144,0.2919708029,0.2061529209,3.0172413793,0.7941331106,4.132231405,0.738686762,4.6703296703,0.7820276791,4.9689440994,0.8562920248,1.2376237624,0.3889416072,1.3664596273,0.4091784692,1.2557077626,0.3762255078,0.8474576271,0.2983492335,1.1363636364,0.3406742241,4.5497630332,0.6415886382,3.2229965157,0.5212487895,2.5112107623,0.4685775601,1.8356643357,0.396881165,2.3092369478,0.475917123,5.5555555556,0.6970117155,7.3784722222,0.7702167409,8.3922261484,0.8241030862,12.600969305,0.9431808242,14.467408585,0.9917926101,28.775356875,1.2408991082,31.591639871,1.3180457488,28.75,1.30653406,26.307053942,1.2683979856,20.0324412,1.1398358683
